,Property Id,Property Name,Address 1,City,Postal Code,Province,Primary Property Type - Self Selected,Number of Buildings,Year Built,Property GFA - Self-Reported (m²),Site Energy Use (GJ),Weather Normalized Site Energy Use (GJ),Site EUI (GJ/m²),Weather Normalized Site EUI (GJ/m²),Source Energy Use (GJ),Weather Normalized Source Energy Use (GJ),Source EUI (GJ/m²),Weather Normalized Source EUI (GJ/m²),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/m²),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions Intensity (kgCO2e/m²),Electricity Use - Grid Purchase (kWh),Natural Gas Use (GJ),Green Power - Onsite and Offsite (kWh),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Year Ending,Unique ID
0,10176804,Acadia Aquatic & Fitness Centre,9009 Fairmount DR SE,Calgary,T2H 0Z4,Alberta,Heated Swimming Pool,1,2010,1838.0,6780.0,7554.0,3.69,4.11,8209.0,9029.0,4.47,4.91,509.0,276.7,280.0,152.4,368616.0,5453.0,368616.0,171.0,2023,2023-10176804
1,6169481,Ad Valorem,2924 11 ST NE,Calgary,T2E 7L7,Alberta,Office,1,1981,7770.0,8656.0,9266.0,1.11,1.19,12202.0,12761.0,1.57,1.64,920.0,118.4,243.0,31.2,1091854.0,4725.0,1091854.0,508.0,2023,2023-6169481
2,6305956,Alberta Trade Centre,315 10 AV SE,Calgary,T2G 0W2,Alberta,Office,1,1974,6681.0,4014.0,4364.0,0.6,0.65,6254.0,6707.0,0.94,1.0,499.0,74.6,0.0,0.0,508589.0,3.0,508589.0,236.0,2023,2023-6305956
3,8854296,Andrew Davison,133 6 AV SE,Calgary,T2G 0G2,Alberta,Office,1,1979,17468.0,11237.0,12229.0,0.64,0.7,16882.0,18157.0,0.97,1.04,1293.0,74.0,26.0,1.5,1152308.0,506.0,1152308.0,536.0,2023,2023-8854296
4,21988603,Animal Services Centre,2201 Portland ST SE,Calgary,T2G 4M7,Alberta,Office,1,2000,2143.0,6757.0,7366.0,3.15,3.44,8572.0,9154.0,4.0,4.27,568.0,265.2,253.0,118.1,508594.0,4926.0,508594.0,236.0,2023,2023-21988603
5,21988595,Apparatus Repair Shop and Spare Apparatus Shop,1725 18 AV NE,Calgary,T2N 2H8,Alberta,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2,2011,6632.0,5656.0,6171.0,0.85,0.93,7671.0,8217.0,1.16,1.24,554.0,83.5,179.0,26.9,604506.0,3480.0,604506.0,281.0,2023,2023-21988595
6,10417704,Beltline Aquatic & Fitness Centre,221 12 AV SW,Calgary,T2R 0G9,Alberta,Fitness Center/Health Club/Gym,1,1988,1807.0,2924.0,3199.0,1.62,1.77,3601.0,3892.0,1.99,2.15,229.0,126.6,117.0,64.6,180718.0,2274.0,180718.0,84.0,2023,2023-10417704
7,9481172,Bob Bohan Aquatic and Fitness Centre,4812 14 AV SE,Calgary,T2A OK9,Alberta,Heated Swimming Pool,1,1976,1641.0,8065.0,8545.0,4.91,5.21,10205.0,10713.0,6.22,6.53,674.0,410.7,304.0,185.0,597416.0,5914.0,597416.0,278.0,2023,2023-9481172
8,10439156,Bowmont Civic Building,5000 Bowness CIVIC BUILDING,Calgary,T3B 0B9,Alberta,Office,1,1974,832.0,693.0,785.0,0.83,0.94,909.0,1007.0,1.09,1.21,63.0,75.7,24.0,28.8,62980.0,466.0,62980.0,29.0,2023,2023-10439156
9,8854297,Calgary Public Building,205 8 AV SE,Calgary,T2G 0K7,Alberta,Office,1,1931,15195.0,7809.0,8132.0,0.51,0.54,10697.0,11013.0,0.7,0.72,781.0,51.4,240.0,15.8,873097.0,4666.0,873097.0,406.0,2023,2023-8854297
10,21988596,Calgary Soccer Centre and Annex,7000 48 ST SE,Calgary,T2C 4E1,Alberta,Indoor Arena,2,1990,16258.0,16284.0,18421.0,1.0,1.13,20674.0,22939.0,1.27,1.41,1372.0,84.4,609.0,37.4,1231244.0,11852.0,1231244.0,572.0,2023,2023-21988596
11,9552446,Canyon Meadows Aquatic & Fitness Centre,89 Canova RD SW,Calgary,T2W 6G3,Alberta,Fitness Center/Health Club/Gym,1,1963,1953.0,10191.0,10736.0,5.22,5.5,12416.0,12994.0,6.36,6.65,777.0,397.7,416.0,212.8,582264.0,8095.0,582264.0,271.0,2023,2023-9552446
12,10154586,Corporate Warehouse,2340 22 ST NE,Calgary,T2E 8L9,Alberta,Non-Refrigerated Warehouse,1,1985,10640.0,6266.0,6929.0,0.59,0.65,7746.0,8497.0,0.73,0.8,477.0,44.8,224.0,21.0,407449.0,4361.0,529463.0,246.0,2023,2023-10154586
13,21988623,Corral Operations Depot,5510 23 AV SE,Calgary,T2B 3E2,Alberta,Other - Public Services,1,2001,260.0,422.0,473.0,1.62,1.82,620.0,684.0,2.38,2.63,49.0,187.2,10.0,39.3,62045.0,199.0,62045.0,29.0,2023,2023-21988623
14,8854299,Dartmouth Place,480 36 AV SE,Calgary,T2G 1W5,Alberta,Office,1,1978,3665.0,2802.0,3044.0,0.76,0.83,3742.0,3956.0,1.02,1.08,265.0,72.3,92.0,25.2,278754.0,1798.0,278754.0,130.0,2023,2023-8854299
15,9578055,East Calgary WMF Building S and T,3030 68 ST SE,Calgary,T2B 0M5,Alberta,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2,2014,9891.0,11317.0,12922.0,1.14,1.31,13382.0,15142.0,1.35,1.53,799.0,80.7,489.0,49.4,499978.0,9517.0,499978.0,232.0,2023,2023-9578055
16,10170296,Emergency Operations Centre,673 1 ST NE,Calgary,T2E 6R2,Alberta,Office,1,2012,5213.0,20152.0,20811.0,3.87,3.99,33436.0,34135.0,6.41,6.55,356.2,562.1,230.0,44.0,4356404.0,4469.0,4356405.0,2025.0,2023,2023-10170296
17,21988614,EMS #15,5010 Bowness RD NW,Calgary,T3B 0B9,Alberta,Other - Public Services,1,1975,420.0,558.0,615.0,1.33,1.46,685.0,745.0,1.63,1.78,43.0,103.4,22.0,53.3,33933.0,436.0,33933.0,16.0,2023,2023-21988614
